place_name,n_uses,kind,status,source,lat,lon,uncertainty_m,geonames_id,geonames_name,feature,country,admin1,qid,osm,confidence,note,decision
Speicherseegebiet,13,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Graswangtal,13,locality,linked,osm,47.56775,10.97806,5000,,,,,,,way/1548196027,0.95,entry context 7 km (71% of the entries),
Gelting,13,locality,linked,osm+geonames,47.89356,11.42269,1500,2921446,Gelting,P.PPL,DE,02,Q61310671,node/7405701807,0.95,entry context 2 km (100% of the entries),
Kagnu,13,settlement,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Seefelden,13,locality,linked,osm+geonames,47.73647,9.22882,1500,2833856,Seefelden,P.PPL,DE,01,Q100255609,node/294973407,0.95,entry context 6 km (100% of the entries),
Saatkrähen-Kolonie,13,locality,no_match,osm,53.07015,7.69675,1500,,,,,,,node/693051221,0.30,OSM tourism/attraction named after the place; 607 km from the entries' other places (0% within 80 km),
Wehrfälle,13,,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Erlacher Forst,13,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Jagdmuseum,13,,review,osm,48.93353,10.97132,1500,,,,,,Q135582982,way/166299132,0.45,"OSM tourism/museum named after the place; far from most of the entries' other places (17% within 80 km, nearest 58 km)",
Forstenrieder Forst,13,,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Grünwalder-Perlacher Forst,13,locality,linked,osm,48.04639,11.56855,1500,,,,,,,relation/19590738,0.95,entry context 10 km (100% of the entries),
Muttergeräumt,13,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Bergl-Alm,13,locality,review,osm,46.72407,10.80175,500,,,,,,,node/6535291723,0.70,"far from most of the entries' other places (0% within 80 km, nearest 109 km)",
Unterberg,13,locality,linked,geonames,46.69528,13.98278,1500,3217636,Unterberg,P.PPL,AT,02,,,0.90,GeoNames primary name match (AT); entry context 1 km (57% of the entries),
Wagenweiher,13,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Seeböden,13,locality,linked,osm+geonames,46.81909,13.51430,2000,2765286,Seeboden,P.PPLA3,AT,02,Q660576,relation/108848,0.95,,
Wörthersee,13,,linked,osm+geonames,46.62917,14.12306,1000,2760837,Wörthersee,H.LK,AT,02,Q546146,relation/301560,0.95,entry context 2 km (100% of the entries),
Botnsdorf,13,settlement,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Hull am Moos,13,settlement,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Kühlehner Höhe,13,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
